|Cod_sector|;|Sub_sector|;|Sector|
|5995|;|Veterinarios|;|Mascotas|
|5999|;|Heladerías|;|Bares y Restaurantes|
|7011|;|Hoteles|;|Alojamiento|
|7013|;|Hoteles|;|Alojamiento|
|7014|;|Hoteles|;|Alojamiento|
|7231|;|Peluquerías|;|Cuidado y Belleza|
|7232|;|Fisioterapia y Masajes|;|Cuidado y Belleza|
|7512|;|Alquiler de vehículos|;|Transporte|
|7513|;|Alquiler de vehículos|;|Transporte|
|7523|;|Parkings|;|Transporte|
|7539|;|Taller y Automoción|;|Transporte|
|7542|;|Estaciones de servicio|;|Transporte|
|7997|;|Actividades deportivas|;|Cuidado y Belleza|
|7999|;|Pubs y Copas|;|Ocio|
|8062|;|Salud|;|Salud|
|8911|;|Muebles y decoración|;|Hogar|
|1360|;|Espectáculos y conciertos|;|Ocio|
|1382|;|Ocio Temático|;|Ocio|
|1432|;|Ocio Temático|;|Ocio|
|1456|;|Ocio Temático|;|Ocio|
|1483|;|Ocio Temático|;|Ocio|
|1484|;|Ocio Temático|;|Ocio|
|2360|;|Espectáculos y conciertos|;|Ocio|
|2411|;|Museos|;|Ocio|
|2432|;|Ocio Temático|;|Ocio|
|2456|;|Ocio Temático|;|Ocio|
|2483|;|Ocio Temático|;|Ocio|
|2941|;|Espectáculos Deportivos|;|Ocio|
|7941|;|Espectáculos Deportivos|;|Ocio|
|7987|;|Ocio Temático|;|Ocio|
|7988|;|Ocio Temático|;|Ocio|
|7989|;|Ocio Temático|;|Ocio|
|7995|;|Ocio Temático|;|Ocio|
|8411|;|Museos|;|Ocio|
